epoch,accuracy,loss,val_accuracy,val_loss
0,0.3694990277290344,1.319559931755066,0.4524495601654053,1.2660255432128906
1,0.6432327628135681,0.9683388471603394,0.651296854019165,0.929600179195404
2,0.8015499711036682,0.5716999173164368,0.6829971075057983,0.8247571587562561
3,0.8444505929946899,0.42073318362236023,0.7118155360221863,0.7803012132644653
4,0.8807085752487183,0.33197882771492004,0.6657060384750366,0.8432289361953735
5,0.9042347073554993,0.2734043300151825,0.6858789920806885,0.8769515156745911
6,0.9202878475189209,0.23035919666290283,0.6945244669914246,0.9202157855033875
7,0.9399390816688538,0.1927773654460907,0.6858789920806885,0.9877685308456421
8,0.948519229888916,0.1654626429080963,0.6772334575653076,1.0508815050125122
9,0.9595903754234314,0.1414898931980133,0.6743515729904175,1.096211314201355
10,0.9662330746650696,0.1254696547985077,0.6887608170509338,1.1627826690673828
11,0.9667866230010986,0.11310674995183945,0.6829971075057983,1.169547438621521
12,0.9703847169876099,0.10570000857114792,0.6858789920806885,1.2397373914718628
13,0.9698311686515808,0.09863932430744171,0.6829971075057983,1.258021593093872
14,0.9717686176300049,0.08816131949424744,0.680115282535553,1.3301912546157837
15,0.972875714302063,0.08857573568820953,0.6829971075057983,1.3287761211395264
16,0.973706066608429,0.07862762361764908,0.6685879230499268,1.3595166206359863
17,0.972875714302063,0.08829408884048462,0.6714697480201721,1.4226689338684082
18,0.9767506122589111,0.07487624138593674,0.6916426420211792,1.4185893535614014
19,0.9759202599525452,0.07680417597293854,0.6743515729904175,1.4357820749282837
20,0.976473867893219,0.07268613576889038,0.6743515729904175,1.448521375656128
21,0.9781345129013062,0.06697552651166916,0.680115282535553,1.532690167427063
22,0.9775809645652771,0.07489980012178421,0.6916426420211792,1.4521721601486206
23,0.9761970639228821,0.06491263210773468,0.6743515729904175,1.4768675565719604
24,0.9784113168716431,0.06405971944332123,0.6772334575653076,1.5206011533737183
